баз 1922, сайтов 389498, вышли в поиск 51370 (13.2%)
пулов «пак + день» по пять и больше баз: 122, в них баз 1782

content-2026-09-12-7str-oform · 2026-09-12 · баз 78 · сайтов 16067 · выход3 6.5% · рег 6
  домен              зона      сайтов  выход3   кликов 2-я волна   рег
  sclw.lol           lol          206   13.6%      348        56     0
  6834.lol           lol          206   13.6%      301        56     0
  4110.team          team         206   13.1%      373        56     0
  3343.lol           lol          206   12.1%      239        56     0
  dkwq.team          team         206   10.7%      318        56     0
  8414.team          team         206   10.2%      490        56     0
  qlhc.lol           lol          206    9.7%      112        56     0
  e1h3.team          team         206    9.7%      749        56     0

clean7_part1_50оформлено · 2026-09-11 · баз 40 · сайтов 8240 · выход3 9.4% · рег 7
  домен              зона      сайтов  выход3   кликов 2-я волна   рег
  qxtl.casino        casino       206   25.2%     2112        56     1
  casinoah.team      team         206   23.8%     5295        56     1
  3142.team          team         206   19.4%     2711        56     0
  efsr.casino        casino       206   18.4%     2362        56     0
  hshl.casino        casino       206   18.0%     2074        56     0
  slkz.team          team         206   15.5%      294        56     0
  5609.team          team         206   15.5%      299        56     0
  1025.team          team         206   13.6%      433        56     2
  casinowm.lol       lol          206   12.6%      144        56     0
  j4l8.team          team         206   12.1%      331        56     0
  9799.team          team         206   12.1%     1344        56     1
  casinog1.team      team         206   11.7%      630        56     0
  e4h1.casino        casino       206   10.7%      740        56     0
  5648.lol           lol          206   10.7%      793        56     0
  d1c3.team          team         206   10.2%      240        56     0
  2930.team          team         206   10.2%      569        56     0
  8975.team          team         206   10.2%      147        56     0
  854casino.team     team         206    9.2%      168        56     0
  casinojxu.team     team         206    9.2%      495        56     0
  casino62.lol       lol          206    8.7%      903        56     0
  xqzs.team          team         206    8.3%      511        56     1
  2384.lol           lol          206    7.8%     2152        56     0
  casino4552.team    team         206    7.3%      258        56     0
  4797.lol           lol          206    6.8%      147        56     0
  ybcc.lol           lol          206    6.3%      414        56     0
  3411.lol           lol          206    6.3%      297        56     0
  butcasino.team     team         206    6.3%      264        56     0
  4100.team          team         206    6.3%      265        56     0
  5659.team          team         206    5.8%      414        56     0
  casino8189.lol     lol          206    5.3%      187        56     0
  5523.lol           lol          206    4.9%       54        56     0
  0831.lol           lol          206    3.9%      290        56     0
  mscasino.lol       lol          206    3.9%       39        56     0
  2771.lol           lol          206    3.9%      558        56     0
  kpkl.casino        casino       206    3.4%       48        56     0
  1819.lol           lol          206    2.9%       22        56     0
  y1n.lol            lol          206    2.9%       28        56     0
  casinoycm.team     team         206    2.9%       16        56     0
  7342.lol           lol          206    1.9%      260        56     0
  uyqcasino.team     team         206    1.0%       20        56     1

content-2026-09-16-7str · 2026-09-17 · баз 37 · сайтов 7622 · выход3 13.0% · рег 4
